时间,电压,周期,温箱数据
15:58:31,20.500,4,108
15:58:35,20.500,4,108
15:58:39,20.500,4,109
15:58:43,20.500,4,108
15:58:47,20.500,4,110
15:58:51,20.500,4,109
15:58:55,20.500,4,108
15:58:59,20.500,4,108
15:59:03,20.500,4,109
15:59:07,20.500,4,108
15:59:11,20.500,4,108
15:59:15,20.500,4,109
15:59:19,20.500,4,108
15:59:23,20.500,4,107
15:59:27,20.500,4,109
15:59:31,20.500,4,109
15:59:35,20.500,4,108
15:59:39,20.500,4,107
15:59:43,20.500,4,108
15:59:47,20.500,4,109
15:59:51,20.500,4,108
15:59:55,20.500,4,106
15:59:59,20.500,4,109
16:00:03,20.500,4,106
16:00:07,20.500,4,108
16:00:11,20.500,4,109
16:00:15,20.500,4,108
16:00:19,20.500,4,108
16:00:23,20.500,4,107
16:00:27,20.500,4,108
16:00:31,20.500,4,110
16:00:35,20.500,4,108
16:00:40,20.500,4,107
16:00:43,20.500,4,108
16:00:47,20.500,4,108
16:00:51,20.500,4,106
16:00:55,20.500,4,108
16:00:59,20.500,4,108
16:01:03,20.500,4,106
16:01:07,20.500,4,107
16:01:11,20.500,4,106
16:01:15,20.500,4,108
16:01:19,20.500,4,108
16:01:23,20.500,4,106
16:01:27,20.500,4,106
16:01:31,20.500,4,107
16:01:35,20.500,4,108
16:01:39,20.500,4,107
16:01:43,20.500,4,106
16:01:47,20.500,4,107
16:01:51,20.500,4,107
16:01:55,20.500,4,106
16:01:59,20.500,4,107
16:02:03,20.500,4,105
16:02:07,20.500,4,107
16:02:11,20.500,4,106
16:02:15,20.500,4,107
16:02:20,20.500,4,107
16:02:23,20.500,4,106
16:02:28,20.500,4,107
16:02:32,20.500,4,106
16:02:36,20.500,4,106
16:02:40,20.500,4,108
16:02:44,20.500,4,104
16:02:48,20.500,4,106
16:02:52,20.500,4,106
16:02:56,20.500,4,106
16:03:00,20.500,4,106
16:03:04,20.500,4,107
16:03:08,20.500,4,106
16:03:12,20.500,4,106
16:03:16,20.500,4,105
16:03:20,20.500,4,104
16:03:24,20.500,4,103
16:03:28,20.500,4,105
16:03:32,20.500,4,106
16:03:36,20.500,4,106
16:03:40,20.500,4,106
16:03:44,20.500,4,104
16:03:48,20.500,4,105
16:03:52,20.500,4,106
16:03:56,20.500,4,105
16:04:00,20.500,4,104
16:04:04,20.500,4,104
16:04:08,20.500,4,105
16:04:12,20.500,4,105
16:04:16,20.500,4,106
16:04:20,20.500,4,105
16:04:24,20.500,4,102
16:04:28,60.500,4,105
16:04:32,60.500,4,105
16:04:36,60.500,4,105
16:04:40,60.500,4,104
16:04:44,60.500,4,103
16:04:48,60.500,4,104
16:04:52,60.500,4,104
16:04:56,60.500,4,104
16:05:00,60.500,4,104
16:05:04,60.500,4,103
16:05:08,60.500,4,104
16:05:12,60.500,4,104
16:05:16,60.500,4,102
16:05:20,60.500,4,104
16:05:24,60.500,4,102
16:05:28,20.500,4,103
16:05:32,20.500,4,103
16:05:36,20.500,4,104
16:05:40,20.500,4,105
16:05:44,20.500,4,104
16:05:48,20.500,4,103
16:05:52,20.500,4,104
16:05:56,20.500,4,102
16:06:00,20.500,4,104
16:06:04,20.500,4,103
16:06:08,20.500,4,105
16:06:12,20.500,4,103
16:06:16,20.500,4,104
16:06:20,20.500,4,102
16:06:24,20.500,4,104
16:06:28,60.500,4,104
16:06:32,60.500,4,104
16:06:36,60.500,4,104
16:06:40,60.500,4,104
16:06:44,60.500,4,103
16:06:48,60.500,4,102
16:06:52,60.500,4,104
16:06:56,60.500,4,103
16:07:00,60.500,4,103
16:07:04,60.500,4,103
16:07:08,60.500,4,103
16:07:12,60.500,4,105
16:07:16,60.500,4,103
16:07:20,60.500,4,100
16:07:24,60.500,4,104
16:07:28,20.500,4,105
16:07:32,20.500,4,103
16:07:36,20.500,4,103
16:07:40,20.500,4,103
16:07:44,20.500,4,104
16:07:48,20.500,4,105
16:07:52,20.500,4,104
16:07:57,20.500,4,103
16:08:00,20.500,4,104
16:08:04,20.500,4,103
16:08:08,20.500,4,103
16:08:12,20.500,4,103
16:08:16,20.500,4,104
16:08:20,20.500,4,103
16:08:24,20.500,4,104
16:08:28,60.500,4,104
16:08:32,60.500,4,104
