时间,电压,周期,温箱数据
14:45:05,30.500,4,104
14:45:09,30.500,4,103
14:45:13,30.500,4,104
14:45:17,30.500,4,103
14:45:21,30.500,4,103
14:45:25,30.500,4,104
14:45:29,30.500,4,104
14:45:33,30.500,4,104
14:45:37,30.500,4,103
14:45:41,30.500,4,103
14:45:45,30.500,4,103
14:45:49,30.500,4,103
14:45:53,30.500,4,104
14:45:57,30.500,4,105
14:46:01,30.500,4,103
14:46:05,30.500,4,103
14:46:09,30.500,4,102
14:46:13,30.500,4,104
14:46:17,30.500,4,104
14:46:21,30.500,4,102
14:46:25,30.500,4,103
14:46:29,30.500,4,103
14:46:33,30.500,4,102
14:46:37,30.500,4,104
14:46:41,30.500,4,102
14:46:45,30.500,4,104
14:46:49,30.500,4,102
14:46:53,30.500,4,102
14:46:57,30.500,4,102
14:47:01,30.500,4,104
14:47:05,30.500,4,103
14:47:09,30.500,4,102
14:47:13,30.500,4,102
14:47:17,30.500,4,101
14:47:21,30.500,4,103
14:47:25,30.500,4,104
14:47:29,30.500,4,102
14:47:33,30.500,4,103
14:47:37,30.500,4,103
14:47:41,30.500,4,103
14:47:45,30.500,4,103
14:47:49,30.500,4,102
14:47:53,30.500,4,101
14:47:57,30.500,4,102
14:48:01,30.500,4,102
14:48:05,30.500,4,102
14:48:09,30.500,4,104
14:48:13,30.500,4,104
14:48:17,30.500,4,102
14:48:21,30.500,4,103
14:48:25,30.500,4,104
14:48:29,30.500,4,103
14:48:34,30.500,4,104
14:48:37,30.500,4,103
14:48:41,30.500,4,102
14:48:45,30.500,4,102
14:48:49,30.500,4,103
14:48:53,30.500,4,103
14:48:57,30.500,4,101
14:49:01,30.500,4,102
14:49:05,30.500,4,100
14:49:09,30.500,4,103
14:49:13,30.500,4,102
14:49:17,30.500,4,102
14:49:21,30.500,4,102
14:49:25,30.500,4,103
14:49:29,30.500,4,102
14:49:33,30.500,4,101
14:49:37,30.500,4,102
14:49:41,30.500,4,103
14:49:45,30.500,4,102
14:49:49,30.500,4,101
14:49:53,30.500,4,102
14:49:57,30.500,4,101
14:50:01,30.500,4,102
14:50:05,30.500,4,103
14:50:09,30.500,4,102
14:50:13,30.500,4,102
14:50:17,30.500,4,103
14:50:21,30.500,4,102
14:50:25,30.500,4,101
14:50:29,30.500,4,101
14:50:33,30.500,4,101
14:50:37,30.500,4,101
14:50:41,30.500,4,102
14:50:45,30.500,4,102
14:50:50,30.500,4,102
14:50:53,30.500,4,102
14:50:57,30.500,4,102
14:51:01,50.500,4,101
14:51:05,50.500,4,100
14:51:09,50.500,4,102
14:51:13,50.500,4,101
14:51:17,50.500,4,102
14:51:21,50.500,4,100
14:51:25,50.500,4,101
14:51:29,50.500,4,100
14:51:33,50.500,4,102
14:51:37,50.500,4,100
14:51:41,50.500,4,102
14:51:45,50.500,4,101
14:51:49,50.500,4,101
14:51:53,50.500,4,101
14:51:57,50.500,4,101
14:52:01,30.500,4,102
14:52:05,30.500,4,101
14:52:09,30.500,4,102
14:52:13,30.500,4,100
14:52:17,30.500,4,102
14:52:21,30.500,4,101
14:52:25,30.500,4,102
14:52:29,30.500,4,101
14:52:33,30.500,4,100
14:52:37,30.500,4,102
14:52:41,30.500,4,107
14:52:45,30.500,4,102
14:52:49,30.500,4,101
14:52:53,30.500,4,102
14:52:57,30.500,4,101
14:53:01,50.500,4,101
14:53:05,50.500,4,101
14:53:09,50.500,4,099
14:53:13,50.500,4,102
14:53:17,50.500,4,101
14:53:21,50.500,4,100
14:53:25,50.500,4,101
14:53:29,50.500,4,100
14:53:33,50.500,4,101
14:53:37,50.500,4,100
14:53:41,50.500,4,102
14:53:45,50.500,4,099
14:53:49,50.500,4,101
14:53:53,50.500,4,102
14:53:57,50.500,4,102
14:54:01,30.500,4,101
14:54:05,30.500,4,101
14:54:09,30.500,4,100
14:54:13,30.500,4,101
14:54:17,30.500,4,101
14:54:21,30.500,4,102
14:54:25,30.500,4,101
14:54:29,30.500,4,101
14:54:33,30.500,4,100
14:54:37,30.500,4,101
14:54:41,30.500,4,102
14:54:45,30.500,4,100
14:54:49,30.500,4,102
14:54:53,30.500,4,101
14:54:57,30.500,4,102
14:55:01,50.500,4,101
14:55:05,50.500,4,101
14:55:09,50.500,4,102
14:55:13,50.500,4,102
14:55:17,50.500,4,101
14:55:21,50.500,4,103
14:55:25,50.500,4,101
14:55:29,50.500,4,102
14:55:33,50.500,4,100
14:55:37,50.500,4,101
14:55:41,50.500,4,102
14:55:45,50.500,4,100
14:55:49,50.500,4,103
14:55:53,50.500,4,101
